index,coordinates,type,owner,troops,distance,resources,tribe,alliance,village,population
tile_71_26,"(71, 26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_27,"(71, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_28,"(71, 28)",Occupied oasis,Myzrael,,18.8,Crop,Egyptians,DarkW,Pustkowo 02,
tile_71_29,"(71, 29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_30,"(71, 30)",Unoccupied oasis,nature,,20.6,"Lumber,Crop",,,,
tile_71_31,"(71, 31)",Unoccupied oasis,nature,,21.5,Iron,,,,
tile_71_32,"(71, 32)",Wilderness,nature,,,,,,,
tile_71_33,"(71, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_34,"(71, 34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_35,"(71, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_36,"(71, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_37,"(71, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_38,"(71, 38)",Wilderness,nature,,,,,,,
tile_71_39,"(71, 39)",Occupied oasis,Whisky,,29.1,Crop,Huns,TCC,Evil Twin,
tile_71_40,"(71, 40)",Occupied oasis,Whisky,,30.1,Crop,Huns,TCC,Evil Twin,
tile_71_41,"(71, 41)",Wilderness,nature,,,,,,,
tile_71_42,"(71, 42)",Shenanigans,Whisky,,32.0,,Huns,TCC,,731.0
tile_71_43,"(71, 43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_44,"(71, 44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_45,"(71, 45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_46,"(71, 46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_71_47,"(71, 47)",Unoccupied oasis,nature,,36.9,"Iron,Crop",,,,
tile_72_-52,"(72, -52)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 4}, {'unit': 'Wolf', 'count': 4}, {'unit': 'Bear', 'count': 3}]",63.6,Lumber,,,,
tile_72_-51,"(72, -51)",Wilderness,nature,,,,,,,
tile_72_-50,"(72, -50)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-49,"(72, -49)",Occupied oasis,Cypmad,,60.7,"Lumber,Crop",Romans,SE,01,
tile_72_-48,"(72, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-47,"(72, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-46,"(72, -46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-45,"(72, -45)",ARMAGEDON,Dizkordia,,56.7,,Gauls,LT,,309.0
tile_72_-44,"(72, -44)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-43,"(72, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-42,"(72, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-41,"(72, -41)",Wilderness,nature,,,,,,,
tile_72_-40,"(72, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-39,"(72, -39)",Wilderness,nature,,,,,,,
tile_72_-38,"(72, -38)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 8}, {'unit': 'Snake', 'count': 8}, {'unit': 'Crocodile', 'count': 5}, {'unit': 'Tiger', 'count': 3}]",49.8,Crop,,,,
tile_72_-37,"(72, -37)",Wilderness,nature,,,,,,,
tile_72_-36,"(72, -36)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 28}, {'unit': 'Snake', 'count': 23}, {'unit': 'Bear', 'count': 16}, {'unit': 'Tiger', 'count': 11}]",47.9,Crop,,,,
tile_72_-35,"(72, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-34,"(72, -34)",village,Voco,,45.9,,Egyptians,A,,645.0
tile_72_-33,"(72, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-32,"(72, -32)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 16}, {'unit': 'Wolf', 'count': 17}, {'unit': 'Bear', 'count': 8}]",43.9,Lumber,,,,
tile_72_-31,"(72, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-30,"(72, -30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-29,"(72, -29)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-28,"(72, -28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-27,"(72, -27)",Wilderness,nature,,,,,,,
tile_72_-26,"(72, -26)",Wilderness,nature,,,,,,,
tile_72_-25,"(72, -25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-24,"(72, -24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-23,"(72, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-22,"(72, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-21,"(72, -21)",Wilderness,nature,,,,,,,
tile_72_-20,"(72, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-19,"(72, -19)",Occupied oasis,CrazyOne,,31.3,Crop,Egyptians,SE,00,
tile_72_-18,"(72, -18)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 26}, {'unit': 'Snake', 'count': 20}, {'unit': 'Bear', 'count': 8}, {'unit': 'Tiger', 'count': 10}]",30.4,Crop,,,,
tile_72_-17,"(72, -17)",Unknown,CrazyOne,,29.4,,Egyptians,SE,,575.0
tile_72_-16,"(72, -16)",Wilderness,nature,,,,,,,
tile_72_-15,"(72, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-14,"(72, -14)",Unoccupied oasis,nature,,26.6,Lumber,,,,
tile_72_-13,"(72, -13)",Wilderness,nature,,,,,,,
tile_72_-12,"(72, -12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-11,"(72, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-10,"(72, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-9,"(72, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-8,"(72, -8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-7,"(72, -7)",Wilderness,nature,,,,,,,
tile_72_-6,"(72, -6)",Wilderness,nature,,,,,,,
tile_72_-5,"(72, -5)",Wilderness,nature,,,,,,,
tile_72_-4,"(72, -4)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 1}, {'unit': 'Snake', 'count': 1}, {'unit': 'Bear', 'count': 1}, {'unit': 'Tiger', 'count': 1}]",17.5,Crop,,,,
tile_72_-3,"(72, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-2,"(72, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_-1,"(72, -1)",Wilderness,nature,,,,,,,
tile_72_0,"(72, 0)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_1,"(72, 1)",Wilderness,nature,,,,,,,
tile_72_2,"(72, 2)",Wilderness,nature,,,,,,,
tile_72_3,"(72, 3)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 2}]",12.0,Lumber,,,,
tile_72_4,"(72, 4)",Wilderness,nature,,,,,,,
tile_72_5,"(72, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_6,"(72, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_7,"(72, 7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_8,"(72, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_9,"(72, 9)",Natars,Natars,,9.2,,Natars,,,93.0
tile_72_10,"(72, 10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_11,"(72, 11)",Unknown,FJR,,9.0,,Teutons,HNTR1,,166.0
tile_72_12,"(72, 12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_13,"(72, 13)",Unoccupied oasis,nature,"[{'unit': 'Tiger', 'count': 3}]",9.2,Crop,,,,
tile_72_14,"(72, 14)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_15,"(72, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_16,"(72, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_17,"(72, 17)",Wilderness,nature,,,,,,,
tile_72_18,"(72, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_19,"(72, 19)",Unknown,3f3,,12.0,,Teutons,HNTR1,,563.0
tile_72_20,"(72, 20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_21,"(72, 21)",Unoccupied oasis,nature,,13.5,Lumber,,,,
tile_72_22,"(72, 22)",Unoccupied oasis,nature,,14.2,Lumber,,,,
tile_72_23,"(72, 23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_24,"(72, 24)",Unoccupied oasis,nature,,15.8,Clay,,,,
tile_72_25,"(72, 25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_26,"(72, 26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_27,"(72, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_28,"(72, 28)",Wilderness,nature,,,,,,,
tile_72_29,"(72, 29)",Wilderness,nature,,,,,,,
tile_72_30,"(72, 30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_31,"(72, 31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_32,"(72, 32)",Nová vesnice,Edon,,22.8,,Gauls,BR,,140.0
tile_72_33,"(72, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_34,"(72, 34)",הכפר של Loksos,Loksos,,24.7,,Egyptians,,,10.0
tile_72_35,"(72, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_36,"(72, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_37,"(72, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_38,"(72, 38)",rapa,Arakim,,28.5,,Egyptians,TCC,,467.0
tile_72_39,"(72, 39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_40,"(72, 40)",Wilderness,nature,,,,,,,
tile_72_41,"(72, 41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_42,"(72, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_72_43,"(72, 43)",Wilderness,nature,,,,,,,
tile_72_44,"(72, 44)",Unoccupied oasis,nature,"[{'unit': 'Spider', 'count': 3}]",34.2,Clay,,,,
tile_72_45,"(72, 45)",Unoccupied oasis,nature,,35.2,Clay,,,,
tile_72_46,"(72, 46)",village,Octave,,36.1,,Gauls,,,12.0
tile_72_47,"(72, 47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-52,"(73, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-51,"(73, -51)",Unoccupied oasis,nature,,62.8,"Clay,Crop",,,,
tile_73_-50,"(73, -50)",Unoccupied oasis,nature,,61.8,Clay,,,,
tile_73_-49,"(73, -49)",Wilderness,nature,,,,,,,
tile_73_-48,"(73, -48)",הכפר של bobo,bobo,,59.8,,Egyptians,,,25.0
tile_73_-47,"(73, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-46,"(73, -46)",village,IZUEL,,57.9,,Gauls,,,11.0
tile_73_-45,"(73, -45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-44,"(73, -44)",Wilderness,nature,,,,,,,
tile_73_-43,"(73, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-42,"(73, -42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-41,"(73, -41)",Wilderness,nature,,,,,,,
tile_73_-40,"(73, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-39,"(73, -39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-38,"(73, -38)",Wilderness,nature,,,,,,,
tile_73_-37,"(73, -37)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 14}, {'unit': 'Snake', 'count': 14}, {'unit': 'Bear', 'count': 7}, {'unit': 'Tiger', 'count': 5}]",49.0,Crop,,,,
tile_73_-36,"(73, -36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-35,"(73, -35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-34,"(73, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-33,"(73, -33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-32,"(73, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-31,"(73, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-30,"(73, -30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-29,"(73, -29)",Wilderness,nature,,,,,,,
tile_73_-28,"(73, -28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-27,"(73, -27)",Villaggio di FierceAxe,FierceAxe,,39.3,,Egyptians,,,12.0
tile_73_-26,"(73, -26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-25,"(73, -25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-24,"(73, -24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-23,"(73, -23)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-22,"(73, -22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-21,"(73, -21)",Natars,Natars,,33.5,,Natars,,,126.0
tile_73_-20,"(73, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-19,"(73, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-18,"(73, -18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-17,"(73, -17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-16,"(73, -16)",Occupied oasis,bigdog,,28.8,Clay,Gauls,W,I 2 DOG,
tile_73_-15,"(73, -15)",Unoccupied oasis,nature,,27.9,Clay,,,,
tile_73_-14,"(73, -14)",Occupied oasis,NOEN,,26.9,"Lumber,Crop",Romans,HNTR1,BAĞÖZÜ,
tile_73_-13,"(73, -13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-12,"(73, -12)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-11,"(73, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-10,"(73, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-9,"(73, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-8,"(73, -8)",Wilderness,nature,,,,,,,
tile_73_-7,"(73, -7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-6,"(73, -6)",Wilderness,nature,,,,,,,
tile_73_-5,"(73, -5)",Wilderness,nature,,,,,,,
tile_73_-4,"(73, -4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-3,"(73, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_-2,"(73, -2)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 5}, {'unit': 'Wolf', 'count': 1}]",16.4,Lumber,,,,
tile_73_-1,"(73, -1)",Unoccupied oasis,nature,,15.6,"Lumber,Crop",,,,
tile_73_0,"(73, 0)",Unoccupied oasis,nature,,14.9,"Clay,Crop",,,,
tile_73_1,"(73, 1)",Wilderness,nature,,,,,,,
tile_73_2,"(73, 2)",Wilderness,nature,,,,,,,
tile_73_3,"(73, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_4,"(73, 4)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_5,"(73, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_6,"(73, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_7,"(73, 7)",PENONIA,MłotRzymu,,10.8,,Huns,LC,,597.0
tile_73_8,"(73, 8)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_9,"(73, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_10,"(73, 10)",Unknown,FJR,,10.0,,Teutons,HNTR1,,532.0
tile_73_11,"(73, 11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_12,"(73, 12)",Wilderness,nature,,,,,,,
tile_73_13,"(73, 13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_14,"(73, 14)",Wilderness,nature,,,,,,,
tile_73_15,"(73, 15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_16,"(73, 16)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_17,"(73, 17)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_18,"(73, 18)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_19,"(73, 19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_20,"(73, 20)",Деревня Sauron,Sauron,,13.5,,Romans,,,440.0
tile_73_21,"(73, 21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_22,"(73, 22)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_23,"(73, 23)",Wilderness,nature,,,,,,,
tile_73_24,"(73, 24)",Wilderness,nature,,,,,,,
tile_73_25,"(73, 25)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_26,"(73, 26)",village,Abo.jod,,18.0,,Gauls,,,13.0
tile_73_27,"(73, 27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_28,"(73, 28)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_29,"(73, 29)",Unoccupied oasis,nature,,20.6,Lumber,,,,
tile_73_30,"(73, 30)",Деревня Ikotaqq,Ikotaqq,,21.5,,Teutons,,,11.0
tile_73_31,"(73, 31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_32,"(73, 32)",Soběchleby,Edon,,23.3,,Gauls,BR,,316.0
tile_73_33,"(73, 33)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_34,"(73, 34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_35,"(73, 35)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_36,"(73, 36)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_37,"(73, 37)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_38,"(73, 38)",Wilderness,nature,,,,,,,
tile_73_39,"(73, 39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_40,"(73, 40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_41,"(73, 41)",Evil Twin,Whisky,,31.6,,Huns,TCC,,406.0
tile_73_42,"(73, 42)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_73_43,"(73, 43)",Unoccupied oasis,nature,"[{'unit': 'Wild Boar', 'count': 4}, {'unit': 'Wolf', 'count': 3}, {'unit': 'Bear', 'count': 2}]",33.5,Lumber,,,,
tile_73_44,"(73, 44)",Wilderness,nature,,,,,,,
tile_73_45,"(73, 45)",Natars,Natars,,35.4,,Natars,,,66.0
tile_73_46,"(73, 46)",Unknown,kaya,,36.4,,Romans,HUNTR,,300.0
tile_73_47,"(73, 47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-52,"(74, -52)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-51,"(74, -51)",Occupied oasis,Ossi,,63.0,"Lumber,Crop",Egyptians,A2,Ossi`s village,
tile_74_-50,"(74, -50)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-49,"(74, -49)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-48,"(74, -48)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-47,"(74, -47)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-46,"(74, -46)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-45,"(74, -45)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-44,"(74, -44)",Jff Köyü,Jff,,56.1,,Romans,,,84.0
tile_74_-43,"(74, -43)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-42,"(74, -42)",village,siriocorbari,,54.1,,Gauls,,,15.0
tile_74_-41,"(74, -41)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-40,"(74, -40)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-39,"(74, -39)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-38,"(74, -38)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-37,"(74, -37)",Wilderness,nature,,,,,,,
tile_74_-36,"(74, -36)",Wilderness,nature,,,,,,,
tile_74_-35,"(74, -35)",Occupied oasis,Voco,,47.3,Clay,Egyptians,A,Voco`s village,
tile_74_-34,"(74, -34)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-33,"(74, -33)",village,Ziktaon,,45.4,,Teutons,,,47.0
tile_74_-32,"(74, -32)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-31,"(74, -31)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-30,"(74, -30)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-29,"(74, -29)",Wilderness,nature,,,,,,,
tile_74_-28,"(74, -28)",Wilderness,nature,,,,,,,
tile_74_-27,"(74, -27)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-26,"(74, -26)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-25,"(74, -25)",KOZAN,NOEN,,37.6,,Romans,HNTR1,,503.0
tile_74_-24,"(74, -24)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-23,"(74, -23)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 12}, {'unit': 'Snake', 'count': 12}, {'unit': 'Crocodile', 'count': 5}, {'unit': 'Tiger', 'count': 5}]",35.7,Crop,,,,
tile_74_-22,"(74, -22)",Unknown,sparrow,,34.8,,Romans,,,146.0
tile_74_-21,"(74, -21)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-20,"(74, -20)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-19,"(74, -19)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-18,"(74, -18)",village,kurimaoh,,31.0,,Gauls,,,14.0
tile_74_-17,"(74, -17)",Wilderness,nature,,,,,,,
tile_74_-16,"(74, -16)",Aldea de Manulov,Manulov,,29.2,,Gauls,,,11.0
tile_74_-15,"(74, -15)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-14,"(74, -14)",BAĞÖZÜ,NOEN,,27.3,,Romans,HNTR1,,239.0
tile_74_-13,"(74, -13)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-12,"(74, -12)",Wilderness,nature,,,,,,,
tile_74_-11,"(74, -11)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-10,"(74, -10)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-9,"(74, -9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-8,"(74, -8)",village,Clay,,22.0,,Egyptians,,,28.0
tile_74_-7,"(74, -7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-6,"(74, -6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-5,"(74, -5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-4,"(74, -4)",Wilderness,nature,,,,,,,
tile_74_-3,"(74, -3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-2,"(74, -2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_-1,"(74, -1)",Unoccupied oasis,nature,,16.3,"Clay,Crop",,,,
tile_74_0,"(74, 0)",Unoccupied oasis,nature,"[{'unit': 'Rat', 'count': 8}, {'unit': 'Spider', 'count': 3}]",15.6,Clay,,,,
tile_74_1,"(74, 1)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_2,"(74, 2)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_3,"(74, 3)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_4,"(74, 4)",merkez,air-arslan,,13.0,,Teutons,HUNTR,,649.0
tile_74_5,"(74, 5)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_6,"(74, 6)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_7,"(74, 7)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_8,"(74, 8)",Wilderness,nature,,,,,,,
tile_74_9,"(74, 9)",Abandoned valley,nature,,,"Lumber,Clay,Iron,Crop",,,,
tile_74_10,"(74, 10)",Zınardayı,Dengesiz,,11.0,,Teutons,HNTR1,,177.0
